DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             0.232               0.885            -0.653         4.403
RESSURF            0.251               0.874            -0.623         3.210
SOLIN            340.267             340.267             0.000         0.000
AAM            1.414e+26           1.420e+26        -5.903e+23      -999.000
CHI_200           -0.001              -0.003             0.002         0.247
CLDHGH            29.141              29.043             0.098         1.367
CLDLOW            32.985              33.049            -0.065         1.207
CLDMED            16.046              15.971             0.074         1.048
CLDTOT            51.097              51.099            -0.002         1.297
EKE_850           30.797              30.559             0.238         1.494
EP            -2.299e-04           1.246e-04        -3.546e-04         0.301
FLNS              59.393              58.954             0.439         1.287
FLNSC             82.289              81.706             0.583         1.198
FLNT             233.635             234.303            -0.667         1.859
FLNTC            262.897             263.529            -0.632         1.006
FSDS             183.576             183.067             0.509         2.853
FSDSC            246.468             245.999             0.469         0.885
FSNS             158.835             159.980            -1.145         5.117
FSNSC            215.095             216.695            -1.600         6.616
FSNSC_ICE         53.322              53.015             0.307         3.462
FSNSC_LAND       179.392             179.232             0.160         1.199
FSNT             233.867             235.187            -1.320         4.851
FSNTC            286.270             288.064            -1.795         6.329
ICEAREA           23.546              23.005             0.541         0.034
LHFLX             82.061              83.009            -0.948         4.205
LWCF              29.262              29.226             0.036         1.393
PRECT              2.813               2.845            -0.032         0.292
PRECT_LAND         2.354               2.348             0.006         0.209
PRECT_OCEAN        3.126               3.172            -0.046         0.332
PREH2O            26.098              26.751            -0.653         0.980
PREH2O_OCEAN      30.356              31.148            -0.792         1.152
PSI_200           -0.034              -0.035             0.000         0.113
PS               985.445             985.509            -0.064         0.539
PSL             1011.150            1011.202            -0.053         0.562
QFLX               2.813               2.846            -0.033         0.128
SHFLX             17.130              17.143            -0.013         1.429
SNOWHLND          11.274              11.272             0.002         1.149
SST               20.616              20.976            -0.360         0.489
STRESS_MAG         0.067               0.066             0.001         0.007
SWCF             -52.403             -52.877             0.475         2.910
T_850            281.969             282.307            -0.338         0.443
TGCLDLWP         135.159             135.921            -0.762         7.721
TGCLDIWP          17.292              17.143             0.150         0.966
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.861             288.188            -0.327         0.500
TS               288.548             288.885            -0.337         0.533
TS_LAND          282.763             283.058            -0.295         0.544
U_200             15.502              15.636            -0.135         0.963
VT_850             0.151               0.124             0.027         0.600
Z3_500            56.771              56.849            -0.077         0.106
