DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             7.711               8.608            -0.897         6.977
RESSURF            6.967               7.717            -0.750         7.228
SOLIN            350.496             350.496             0.000         0.000
AAM            1.475e+26           1.519e+26        -4.456e+24      -999.000
CHI_200           -0.041              -0.045             0.004         0.482
CLDHGH            28.467              28.469            -0.001         2.484
CLDLOW            32.323              32.434            -0.112         2.047
CLDMED            16.244              16.210             0.033         1.947
CLDTOT            50.183              50.322            -0.139         2.390
EKE_850           27.681              27.533             0.147         2.584
EP             5.197e-03           5.601e-03        -4.049e-04         0.549
FLNS              58.903              58.361             0.542         2.256
FLNSC             81.790              81.057             0.733         1.901
FLNT             230.493             231.263            -0.770         3.012
FLNTC            259.321             260.038            -0.717         1.470
FSDS             191.184             190.335             0.849         5.402
FSDSC            256.894             256.236             0.658         1.400
FSNS             163.287             164.757            -1.470         8.228
FSNSC            222.030             224.270            -2.240         9.619
FSNSC_ICE         25.030              28.490            -3.461         4.854
FSNSC_LAND       145.185             144.817             0.368         2.018
FSNT             238.205             239.871            -1.666         7.737
FSNTC            292.740             295.200            -2.460         9.229
ICEAREA           21.849              21.351             0.498         0.043
LHFLX             82.541              83.719            -1.178         6.417
LWCF              28.828              28.775             0.052         2.346
PRECT              2.821               2.861            -0.040         0.508
PRECT_LAND         2.328               2.297             0.031         0.388
PRECT_OCEAN        3.157               3.225            -0.068         0.569
PREH2O            24.639              25.447            -0.808         1.395
PREH2O_OCEAN      29.731              30.767            -1.035         1.635
PSI_200           -0.003              -0.003            -0.000         0.234
PS               985.302             985.381            -0.079         0.824
PSL             1011.318            1011.395            -0.076         0.853
QFLX               2.826               2.867            -0.040         0.183
SHFLX             14.876              14.960            -0.084         2.581
SNOWHLND          12.033              12.044            -0.010         1.296
SST               20.609              21.016            -0.407         0.584
STRESS_MAG         0.071               0.072            -0.001         0.011
SWCF             -54.535             -55.329             0.794         4.967
T_850            280.307             280.660            -0.353         0.585
TGCLDLWP         135.179             136.363            -1.184        14.247
TGCLDIWP          17.714              17.570             0.144         1.741
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.900             286.245            -0.345         0.692
TS               286.540             286.892            -0.351         0.732
TS_LAND          275.981             276.261            -0.279         0.844
U_200             16.175              16.642            -0.467         1.405
VT_850            -0.640              -0.683             0.043         1.124
Z3_500            56.509              56.599            -0.090         0.136
