DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            -9.871              -9.833            -0.038         3.474
RESSURF          -10.906             -10.863            -0.043         6.623
SOLIN            330.385             330.385             0.000         0.000
AAM            1.196e+26           1.190e+26         5.776e+23      -999.000
CHI_200            0.030               0.027             0.004         0.386
CLDHGH            30.537              30.382             0.155         2.300
CLDLOW            35.668              35.764            -0.096         1.899
CLDMED            16.109              15.977             0.132         1.787
CLDTOT            54.216              54.151             0.064         2.175
EKE_850           28.169              27.858             0.310         2.392
EP             1.270e-02           1.193e-02         7.637e-04         0.533
FLNS              57.950              57.585             0.365         2.048
FLNSC             81.507              81.025             0.483         1.549
FLNT             236.844             237.581            -0.737         2.925
FLNTC            267.011             267.706            -0.695         1.283
FSDS             171.111             170.802             0.309         4.518
FSDSC            235.452             235.031             0.420         0.994
FSNS             150.766             151.317            -0.551         4.765
FSNSC            208.436             209.097            -0.661         4.118
FSNSC_ICE         43.867              44.326            -0.459         4.777
FSNSC_LAND       214.988             214.658             0.331         1.509
FSNT             226.973             227.749            -0.776         4.421
FSNTC            280.929             281.837            -0.908         3.912
ICEAREA           24.557              23.896             0.661         0.053
LHFLX             84.262              85.155            -0.893         6.214
LWCF              30.167              30.124             0.043         2.367
PRECT              2.879               2.911            -0.032         0.507
PRECT_LAND         2.408               2.394             0.014         0.410
PRECT_OCEAN        3.186               3.235            -0.049         0.563
PREH2O            28.196              28.781            -0.585         1.028
PREH2O_OCEAN      31.065              31.755            -0.690         1.159
PSI_200           -0.074              -0.073            -0.000         0.163
PS               985.651             985.708            -0.057         0.937
PSL             1011.027            1011.077            -0.050         0.944
QFLX               2.892               2.923            -0.031         0.181
SHFLX             19.459              19.439             0.019         2.494
SNOWHLND          10.259              10.271            -0.011         1.144
SST               20.321              20.665            -0.344         0.469
STRESS_MAG         0.077               0.077            -0.000         0.011
SWCF             -53.956             -54.089             0.133         3.939
T_850            283.873             284.250            -0.376         0.561
TGCLDLWP         141.653             142.491            -0.838        13.568
TGCLDIWP          16.379              16.259             0.120         1.655
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.864             290.195            -0.331         0.581
TS               290.558             290.896            -0.338         0.597
TS_LAND          289.486             289.791            -0.306         0.684
U_200             13.353              13.470            -0.117         1.407
VT_850             0.975               0.953             0.022         1.219
Z3_500            57.123              57.203            -0.081         0.138
