DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             1.828               2.717            -0.889         5.600
RESSURF            6.361               7.236            -0.875         5.520
SOLIN            342.177             342.177             0.000         0.000
AAM            1.431e+26           1.444e+26        -1.248e+24      -999.000
CHI_200            0.007               0.008            -0.001         0.330
CLDHGH            28.520              28.368             0.152         2.255
CLDLOW            32.628              32.735            -0.107         1.671
CLDMED            15.888              15.821             0.067         1.640
CLDTOT            50.284              50.319            -0.035         2.030
EKE_850           27.824              27.764             0.061         2.272
EP            -3.812e-02          -3.775e-02        -3.687e-04         0.443
FLNS              59.741              59.368             0.373         1.934
FLNSC             82.650              82.140             0.510         1.517
FLNT             233.898             234.600            -0.702         2.793
FLNTC            262.497             263.138            -0.641         1.195
FSDS             186.807             186.255             0.552         4.252
FSDSC            249.528             249.025             0.503         1.121
FSNS             161.617             163.065            -1.449         6.541
FSNSC            217.657             219.701            -2.044         8.232
FSNSC_ICE         44.880              44.376             0.504         3.917
FSNSC_LAND       166.415             166.140             0.275         1.207
FSNT             235.726             237.317            -1.590         6.120
FSNTC            287.792             289.989            -2.196         7.772
ICEAREA           24.966              24.160             0.806         0.054
LHFLX             79.424              80.348            -0.925         5.217
LWCF              28.599              28.539             0.061         2.191
PRECT              2.764               2.796            -0.032         0.422
PRECT_LAND         2.453               2.426             0.027         0.350
PRECT_OCEAN        2.998               3.052            -0.054         0.464
PREH2O            25.784              26.389            -0.605         1.050
PREH2O_OCEAN      29.780              30.508            -0.728         1.183
PSI_200           -0.042              -0.044             0.001         0.149
PS               985.414             985.474            -0.059         0.592
PSL             1011.107            1011.153            -0.046         0.611
QFLX               2.726               2.758            -0.032         0.153
SHFLX             16.091              16.113            -0.022         1.754
SNOWHLND          10.374              10.391            -0.017         1.203
SST               20.210              20.543            -0.334         0.455
STRESS_MAG         0.069               0.069             0.000         0.007
SWCF             -52.066             -52.672             0.606         4.213
T_850            281.742             282.076            -0.334         0.469
TGCLDLWP         134.669             135.665            -0.996        11.621
TGCLDIWP          17.348              17.188             0.161         1.506
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.788             288.105            -0.318         0.501
TS               288.479             288.801            -0.321         0.530
TS_LAND          283.007             283.279            -0.272         0.556
U_200             15.496              15.642            -0.146         1.304
VT_850             0.056               0.027             0.029         0.893
Z3_500            56.725              56.800            -0.075         0.119
