DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -25.117             -25.672             0.555         1.478
RESSURF           -9.663              -9.626            -0.037         2.888
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.167              -0.007            -0.160         0.200
CLDHGH            25.183              25.122             0.061         1.161
CLDLOW            30.271              30.622            -0.351         1.129
CLDMED            15.258              15.252             0.006         0.817
CLDTOT            46.308              46.517            -0.209         1.189
EKE_850           33.768              33.542             0.225         1.309
EP            -1.525e-02          -3.450e-02         1.925e-02         0.182
FLNS              65.118              64.935             0.183         1.247
FLNSC             88.524              88.471             0.053         1.001
FLNT             230.618             231.102            -0.484         1.394
FLNTC            254.527             255.030            -0.502         1.044
FSDS             166.240             165.830             0.410         2.150
FSDSC            219.188             219.031             0.157         0.526
FSNS             137.085             136.852             0.233         2.103
FSNSC            182.745             182.755            -0.010         1.731
FSNSC_ICE         45.666              45.635             0.032         3.187
FSNSC_LAND       164.997             165.072            -0.075         1.503
FSNT             205.502             205.431             0.071         1.887
FSNTC            247.578             247.744            -0.166         1.640
ICEAREA           11.862              11.678             0.185         0.039
LHFLX             59.812              59.783             0.029         2.119
LWCF              23.909              23.927            -0.018         1.041
PRECT              2.054               2.075            -0.021         0.179
PRECT_LAND         1.664               1.674            -0.011         0.177
PRECT_OCEAN        2.653               2.681            -0.029         0.191
PREH2O            18.444              18.657            -0.213         0.402
PREH2O_OCEAN      24.582              24.805            -0.223         0.448
PSI_200           -6.665              -6.751             0.086         0.119
PS               976.755             976.858            -0.103         0.532
PSL             1015.690            1015.787            -0.097         0.542
QFLX               2.039               2.041            -0.002         0.064
SHFLX             21.817              21.760             0.057         1.714
SNOWHLND           4.344               4.341             0.003         1.537
SST               18.356              18.472            -0.117         0.253
STRESS_MAG         0.049               0.049             0.000         0.006
SWCF             -42.077             -42.313             0.236         1.767
T_850            278.756             278.973            -0.217         0.402
TGCLDLWP         125.331             126.982            -1.651         7.345
TGCLDIWP          19.430              19.346             0.083         0.905
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.079             283.311            -0.231         0.544
TS               283.621             283.855            -0.234         0.565
TS_LAND          280.756             281.088            -0.332         0.632
U_200             18.367              18.590            -0.223         0.932
VT_850             0.281               0.287            -0.007         0.698
Z3_500            56.479              56.530            -0.051         0.084
