DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -103.562            -104.076             0.514         1.947
RESSURF          -75.711             -75.547            -0.164         8.440
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.396               3.509            -0.113         0.338
CLDHGH            25.684              25.958            -0.274         2.557
CLDLOW            27.039              27.554            -0.515         2.010
CLDMED            17.301              17.170             0.131         1.691
CLDTOT            44.257              44.787            -0.530         2.422
EKE_850           43.475              42.594             0.881         3.240
EP             1.411e-01           1.445e-01        -3.486e-03         0.322
FLNS              65.272              65.009             0.263         1.969
FLNSC             88.374              88.368             0.005         1.737
FLNT             212.463             212.891            -0.428         2.176
FLNTC            235.367             235.944            -0.577         1.694
FSDS              91.188              90.999             0.189         2.148
FSDSC            116.789             116.727             0.062         0.428
FSNS              74.148              73.995             0.153         2.234
FSNSC             95.862              95.816             0.046         1.520
FSNSC_ICE          1.674               1.650             0.023         0.230
FSNSC_LAND        77.792              77.784             0.008         2.249
FSNT             108.901             108.815             0.086         2.045
FSNTC            129.821             129.840            -0.019         1.432
ICEAREA           14.153              13.939             0.214         0.046
LHFLX             67.186              67.256            -0.070         5.241
LWCF              22.905              23.053            -0.149         1.983
PRECT              2.110               2.109             0.001         0.299
PRECT_LAND         1.080               1.094            -0.015         0.193
PRECT_OCEAN        3.474               3.446             0.028         0.398
PREH2O            11.635              11.794            -0.159         0.472
PREH2O_OCEAN      18.597              18.775            -0.178         0.549
PSI_200           -8.108              -8.348             0.240         0.302
PS               977.162             977.400            -0.238         1.142
PSL             1017.434            1017.691            -0.257         1.182
QFLX               2.251               2.254            -0.002         0.158
SHFLX             17.400              17.276             0.124         3.671
SNOWHLND           5.793               5.813            -0.020         1.732
SST               16.382              16.496            -0.113         0.271
STRESS_MAG         0.075               0.080            -0.005         0.016
SWCF             -20.920             -21.025             0.105         1.695
T_850            270.983             271.147            -0.163         0.609
TGCLDLWP         120.128             121.128            -1.000        12.784
TGCLDIWP          23.879              23.736             0.143         1.947
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           273.849             274.073            -0.224         0.912
TS               274.331             274.554            -0.223         0.945
TS_LAND          265.259             265.577            -0.317         1.062
U_200             25.255              25.751            -0.495         1.512
VT_850             0.401               0.432            -0.031         1.495
Z3_500            55.142              55.205            -0.063         0.148
