DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            51.536              50.960             0.576         3.338
RESSURF           54.102              53.853             0.249         3.340
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.795              -3.617            -0.178         0.249
CLDHGH            25.303              25.323            -0.020         1.911
CLDLOW            37.401              37.714            -0.313         1.867
CLDMED            13.666              13.614             0.052         1.456
CLDTOT            52.299              52.464            -0.166         2.160
EKE_850           18.948              18.872             0.075         1.612
EP            -2.411e-01          -2.564e-01         1.535e-02         0.381
FLNS              59.855              59.861            -0.006         2.303
FLNSC             84.487              84.524            -0.037         1.608
FLNT             249.281             249.711            -0.430         2.493
FLNTC            274.655             275.105            -0.450         1.037
FSDS             232.614             232.128             0.487         5.439
FSDSC            320.162             319.832             0.330         1.305
FSNS             196.495             196.104             0.391         4.903
FSNSC            272.731             272.510             0.221         3.593
FSNSC_ICE        118.808             118.615             0.193         8.019
FSNSC_LAND       256.914             256.684             0.229         1.870
FSNT             300.816             300.671             0.146         4.310
FSNTC            370.302             370.316            -0.015         3.319
ICEAREA            9.322               9.161             0.160         0.053
LHFLX             54.810              54.646             0.164         3.544
LWCF              25.375              25.394            -0.020         1.897
PRECT              2.160               2.172            -0.012         0.374
PRECT_LAND         2.443               2.439             0.004         0.452
PRECT_OCEAN        1.994               2.014            -0.020         0.301
PREH2O            27.694              27.899            -0.204         0.724
PREH2O_OCEAN      32.087              32.294            -0.206         0.732
PSI_200           -4.395              -4.485             0.090         0.130
PS               975.753             975.999            -0.246         0.565
PSL             1013.376            1013.623            -0.247         0.575
QFLX               1.919               1.916             0.003         0.101
SHFLX             27.728              27.745            -0.017         2.353
SNOWHLND           2.416               2.439            -0.023         1.526
SST               19.926              20.066            -0.140         0.329
STRESS_MAG         0.049               0.048             0.001         0.005
SWCF             -69.485             -69.646             0.161         4.431
T_850            287.671             287.915            -0.244         0.478
TGCLDLWP         136.491             137.632            -1.141        13.017
TGCLDIWP          14.144              14.148            -0.004         1.309
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.411             292.585            -0.173         0.423
TS               292.994             293.171            -0.177         0.435
TS_LAND          296.179             296.418            -0.239         0.517
U_200              9.364               9.552            -0.188         1.128
VT_850             0.130               0.126             0.004         0.901
Z3_500            58.001              58.068            -0.067         0.097
