DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            17.347              17.009             0.338         2.881
RESSURF           17.799              17.763             0.037         5.747
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.065               1.353            -0.288         0.328
CLDHGH            24.685              24.457             0.228         2.344
CLDLOW            27.603              27.842            -0.240         1.733
CLDMED            15.064              15.215            -0.151         1.473
CLDTOT            43.920              43.938            -0.019         2.112
EKE_850           33.708              33.546             0.161         2.554
EP             4.141e-02           4.304e-03         3.710e-02         0.324
FLNS              70.504              70.140             0.365         2.262
FLNSC             93.550              93.301             0.248         1.507
FLNT             228.216             228.647            -0.431         2.693
FLNTC            251.546             251.945            -0.399         1.633
FSDS             210.034             209.222             0.812         4.701
FSDSC            268.621             268.335             0.286         1.046
FSNS             165.378             165.142             0.236         4.663
FSNSC            214.913             215.181            -0.268         3.741
FSNSC_ICE         49.030              48.480             0.550         3.549
FSNSC_LAND       193.668             194.140            -0.472         3.918
FSNT             245.563             245.656            -0.092         4.087
FSNTC            289.979             290.558            -0.579         3.592
ICEAREA           14.668              14.525             0.143         0.053
LHFLX             52.592              52.839            -0.246         4.467
LWCF              23.330              23.298             0.032         1.957
PRECT              1.737               1.789            -0.052         0.298
PRECT_LAND         1.489               1.532            -0.043         0.298
PRECT_OCEAN        2.183               2.255            -0.072         0.321
PREH2O            14.798              15.086            -0.288         0.618
PREH2O_OCEAN      20.558              20.852            -0.294         0.733
PSI_200           -7.940              -7.895            -0.045         0.161
PS               977.193             977.079             0.115         0.925
PSL             1016.123            1015.979             0.143         0.947
QFLX               1.778               1.793            -0.015         0.133
SHFLX             24.482              24.401             0.081         2.838
SNOWHLND           6.565               6.479             0.086         1.836
SST               16.322              16.435            -0.113         0.270
STRESS_MAG         0.048               0.044             0.004         0.010
SWCF             -44.415             -44.902             0.487         3.670
T_850            276.985             277.214            -0.230         0.725
TGCLDLWP         114.611             116.932            -2.321        12.131
TGCLDIWP          20.579              20.471             0.109         1.831
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.553             281.833            -0.281         0.767
TS               282.079             282.367            -0.288         0.791
TS_LAND          280.455             280.896            -0.441         1.003
U_200             20.833              20.997            -0.163         1.866
VT_850             0.462               0.481            -0.019         1.334
Z3_500            56.101              56.131            -0.030         0.124
