DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -67.972             -68.805             0.833         2.036
RESSURF          -36.423             -36.256            -0.167         5.555
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.329              -1.189            -0.141         0.319
CLDHGH            24.933              24.676             0.257         2.158
CLDLOW            28.923              29.329            -0.407         1.814
CLDMED            15.061              15.082            -0.021         1.690
CLDTOT            44.576              44.756            -0.180         2.118
EKE_850           30.515              30.869            -0.353         2.269
EP            -6.631e-05          -3.141e-02         3.134e-02         0.356
FLNS              64.794              64.619             0.174         2.265
FLNSC             87.607              87.579             0.028         1.662
FLNT             232.147             232.748            -0.601         2.550
FLNTC            256.138             256.702            -0.564         1.301
FSDS             129.077             128.853             0.224         3.260
FSDSC            168.400             168.438            -0.038         0.721
FSNS             110.655             110.405             0.250         2.913
FSNSC            145.175             145.161             0.013         1.213
FSNSC_ICE          9.774               9.841            -0.067         2.653
FSNSC_LAND       129.314             129.314             0.000         1.229
FSNT             164.174             163.943             0.231         2.637
FSNTC            197.110             197.118            -0.008         1.069
ICEAREA            9.336               9.144             0.192         0.064
LHFLX             64.790              64.593             0.198         4.266
LWCF              23.991              23.954             0.038         1.891
PRECT              2.210               2.239            -0.029         0.344
PRECT_LAND         1.630               1.626             0.004         0.280
PRECT_OCEAN        2.951               3.013            -0.062         0.411
PREH2O            19.517              19.729            -0.212         0.746
PREH2O_OCEAN      26.218              26.517            -0.299         0.803
PSI_200           -6.229              -6.323             0.094         0.175
PS               976.884             976.976            -0.092         0.591
PSL             1015.827            1015.906            -0.078         0.595
QFLX               2.210               2.208             0.002         0.127
SHFLX             17.493              17.449             0.044         1.955
SNOWHLND           2.627               2.658            -0.032         1.616
SST               19.616              19.716            -0.100         0.264
STRESS_MAG         0.048               0.047             0.001         0.007
SWCF             -32.936             -33.175             0.239         2.631
T_850            279.282             279.510            -0.227         0.489
TGCLDLWP         130.097             132.508            -2.411        12.413
TGCLDIWP          19.219              19.142             0.076         1.701
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.316             284.542            -0.225         0.556
TS               284.891             285.114            -0.224         0.583
TS_LAND          280.780             281.079            -0.299         0.613
U_200             18.117              18.178            -0.061         1.415
VT_850             0.122               0.105             0.016         1.289
Z3_500            56.635              56.688            -0.053         0.115
