DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -23.781             -21.136            -2.645         7.283
RESSURF           -5.291              -3.761            -1.530         3.670
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.686               0.546             0.139         0.258
CLDHGH            25.703              25.496             0.206         1.307
CLDLOW            39.347              39.536            -0.189         1.276
CLDMED            15.904              15.797             0.107         1.052
CLDTOT            53.554              53.605            -0.051         1.291
EKE_850           44.802              44.411             0.391         1.990
EP             9.132e-02           1.111e-01        -1.979e-02         0.219
FLNS              60.471              59.796             0.675         1.458
FLNSC             89.506              88.667             0.839         1.318
FLNT             225.118             226.045            -0.927         1.733
FLNTC            249.791             250.689            -0.898         1.167
FSDS             168.200             166.853             1.347         3.316
FSDSC            226.814             225.979             0.835         1.311
FSNS             138.422             141.929            -3.508         8.181
FSNSC            188.930             194.167            -5.237        11.359
FSNSC_ICE         61.472              61.049             0.423         3.738
FSNSC_LAND       129.993             129.591             0.402         0.631
FSNT             201.337             204.909            -3.572         7.792
FSNTC            247.349             252.603            -5.254        10.881
ICEAREA           11.684              11.328             0.356         0.029
LHFLX             70.816              73.299            -2.483         6.027
LWCF              24.673              24.644             0.029         1.236
PRECT              2.306               2.369            -0.063         0.246
PRECT_LAND         1.659               1.668            -0.009         0.160
PRECT_OCEAN        2.494               2.567            -0.073         0.273
PREH2O            17.064              17.885            -0.821         1.139
PREH2O_OCEAN      19.415              20.360            -0.944         1.288
PSI_200            7.279               7.277             0.002         0.113
PS               983.515             983.456             0.058         0.736
PSL             1007.240            1007.156             0.084         0.779
QFLX               2.397               2.480            -0.083         0.197
SHFLX             12.426              12.595            -0.170         1.467
SNOWHLND          46.918              46.916             0.002         0.617
SST               14.770              15.315            -0.544         0.669
STRESS_MAG         0.091               0.091            -0.000         0.009
SWCF             -46.012             -47.694             1.682         3.911
T_850            276.099             276.594            -0.495         0.566
TGCLDLWP         142.186             143.864            -1.677         7.693
TGCLDIWP          20.610              20.372             0.238         1.114
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.192             281.639            -0.446         0.583
TS               281.737             282.208            -0.472         0.640
TS_LAND          266.525             266.747            -0.222         0.537
U_200             25.456              25.426             0.031         1.158
VT_850            -0.214              -0.213            -0.001         0.655
Z3_500            55.179              55.279            -0.100         0.141
