DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            72.059              76.569            -4.510        11.401
RESSURF           80.671              83.774            -3.103         7.407
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.958              -3.050             0.092         0.370
CLDHGH            21.332              21.548            -0.217         2.111
CLDLOW            42.214              42.175             0.040         2.241
CLDMED            13.830              13.794             0.036         1.807
CLDTOT            52.894              53.073            -0.179         2.436
EKE_850           30.076              29.947             0.129         2.496
EP            -1.706e-02          -2.197e-02         4.906e-03         0.445
FLNS              56.610              55.898             0.712         2.655
FLNSC             86.242              85.093             1.149         2.036
FLNT             236.104             236.872            -0.768         2.724
FLNTC            258.959             259.851            -0.892         1.350
FSDS             262.531             260.741             1.791         7.109
FSDSC            356.620             355.345             1.275         2.086
FSNS             211.479             216.669            -5.190        13.064
FSNSC            293.078             300.522            -7.444        16.623
FSNSC_ICE        119.801             123.435            -3.634        11.286
FSNSC_LAND       190.855             189.712             1.143         1.884
FSNT             308.163             313.441            -5.278        12.359
FSNTC            380.904             388.400            -7.496        15.981
ICEAREA            7.696               7.412             0.284         0.040
LHFLX             63.247              65.719            -2.471         7.483
LWCF              22.855              22.979            -0.124         2.058
PRECT              2.181               2.271            -0.090         0.392
PRECT_LAND         2.688               2.677             0.010         0.419
PRECT_OCEAN        2.102               2.214            -0.112         0.398
PREH2O            21.011              22.163            -1.152         1.676
PREH2O_OCEAN      22.717              24.024            -1.307         1.866
PSI_200            6.624               6.789            -0.165         0.213
PS               983.690             983.565             0.125         0.809
PSL             1007.005            1006.854             0.151         0.840
QFLX               2.164               2.249            -0.085         0.225
SHFLX             10.951              11.279            -0.328         1.839
SNOWHLND          46.885              46.885             0.000         0.703
SST               16.099              16.764            -0.666         0.838
STRESS_MAG         0.082               0.081             0.001         0.010
SWCF             -72.741             -74.959             2.217         6.869
T_850            279.273             279.837            -0.564         0.694
TGCLDLWP         145.321             146.688            -1.367        13.294
TGCLDIWP          16.863              16.785             0.078         1.653
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.846             285.343            -0.497         0.681
TS               285.339             285.874            -0.534         0.760
TS_LAND          276.017             276.256            -0.239         0.577
U_200             19.769              19.892            -0.122         1.320
VT_850            -0.101              -0.091            -0.010         1.010
Z3_500            55.887              55.999            -0.111         0.157
