DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -111.184            -110.597            -0.587         4.144
RESSURF          -83.757             -83.841             0.084         9.448
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.396               4.199             0.197         0.417
CLDHGH            31.579              30.918             0.661         2.406
CLDLOW            37.794              38.080            -0.286         1.999
CLDMED            17.844              17.683             0.161         1.826
CLDTOT            56.319              56.113             0.206         2.032
EKE_850           56.267              55.838             0.430         3.673
EP             1.657e-01           1.912e-01        -2.550e-02         0.377
FLNS              63.202              62.560             0.641         2.187
FLNSC             92.593              91.954             0.639         1.616
FLNT             214.817             216.108            -1.291         2.504
FLNTC            242.015             243.120            -1.105         1.653
FSDS              81.449              80.675             0.774         2.710
FSDSC            108.987             108.511             0.477         0.763
FSNS              70.851              72.622            -1.771         4.807
FSNSC             94.490              97.160            -2.670         6.147
FSNSC_ICE          2.595               2.528             0.067         0.255
FSNSC_LAND        77.426              77.207             0.219         0.485
FSNT             103.633             105.511            -1.878         4.588
FSNTC            126.496             129.246            -2.750         5.930
ICEAREA           15.235              14.734             0.501         0.053
LHFLX             77.744              80.177            -2.433         8.335
LWCF              27.198              27.012             0.186         2.123
PRECT              2.451               2.506            -0.055         0.352
PRECT_LAND         0.897               0.887             0.011         0.283
PRECT_OCEAN        2.885               2.955            -0.070         0.381
PREH2O            13.486              14.112            -0.626         0.966
PREH2O_OCEAN      15.964              16.672            -0.708         1.085
PSI_200            7.269               7.299            -0.030         0.216
PS               983.753             983.568             0.184         1.511
PSL             1007.763            1007.559             0.204         1.520
QFLX               2.617               2.698            -0.081         0.261
SHFLX             13.662              13.725            -0.063         3.300
SNOWHLND          46.941              46.936             0.005         0.644
SST               13.244              13.717            -0.472         0.591
STRESS_MAG         0.101               0.104            -0.003         0.017
SWCF             -22.864             -23.735             0.871         2.642
T_850            273.207             273.750            -0.542         0.758
TGCLDLWP         141.034             143.657            -2.623        13.212
TGCLDIWP          23.375              23.143             0.232         2.057
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.047             278.546            -0.499         0.834
TS               278.643             279.152            -0.510         0.853
TS_LAND          259.144             259.641            -0.496         1.208
U_200             30.214              30.062             0.152         1.903
VT_850            -0.372              -0.375             0.003         1.830
Z3_500            54.578              54.672            -0.093         0.203
