DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -70.089             -68.206            -1.883         5.956
RESSURF          -44.382             -43.881            -0.500         8.350
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.490              -0.729             0.239         0.420
CLDHGH            24.424              24.219             0.205         2.171
CLDLOW            38.557              38.749            -0.192         1.932
CLDMED            16.376              16.189             0.188         1.757
CLDTOT            52.027              52.060            -0.033         2.147
EKE_850           42.897              42.230             0.667         3.651
EP             1.157e-01           1.499e-01        -3.428e-02         0.399
FLNS              59.518              58.660             0.859         2.324
FLNSC             87.507              86.392             1.115         2.038
FLNT             226.355             227.284            -0.929         2.702
FLNTC            251.194             252.059            -0.865         1.365
FSDS             123.015             121.887             1.128         3.798
FSDSC            167.453             166.738             0.715         1.208
FSNS             106.714             109.412            -2.698         6.817
FSNSC            145.650             149.709            -4.059         9.134
FSNSC_ICE         22.390              21.585             0.805         3.001
FSNSC_LAND       103.649             103.535             0.114         0.424
FSNT             156.266             159.078            -2.812         6.566
FSNTC            193.049             197.217            -4.168         8.889
ICEAREA            8.210               8.151             0.059         0.032
LHFLX             79.386              82.362            -2.977         8.922
LWCF              24.839              24.775             0.064         2.015
PRECT              2.574               2.637            -0.064         0.438
PRECT_LAND         1.504               1.564            -0.060         0.274
PRECT_OCEAN        2.844               2.903            -0.058         0.480
PREH2O            18.700              19.720            -1.020         1.525
PREH2O_OCEAN      20.943              22.106            -1.162         1.655
PSI_200            7.860               7.665             0.195         0.267
PS               983.355             983.489            -0.134         1.432
PSL             1007.225            1007.314            -0.089         1.520
QFLX               2.689               2.787            -0.098         0.291
SHFLX             12.192              12.271            -0.080         2.581
SNOWHLND          46.889              46.885             0.004         0.634
SST               15.706              16.297            -0.591         0.750
STRESS_MAG         0.093               0.092             0.001         0.017
SWCF             -36.783             -38.138             1.356         3.857
T_850            277.095             277.587            -0.493         0.642
TGCLDLWP         146.587             147.507            -0.920        12.407
TGCLDIWP          20.965              20.517             0.448         1.906
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.127             282.569            -0.442         0.672
TS               282.716             283.191            -0.475         0.739
TS_LAND          264.457             264.472            -0.015         0.564
U_200             24.613              24.417             0.196         1.924
VT_850            -0.137              -0.153             0.016         1.344
Z3_500            55.364              55.482            -0.119         0.213
