DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            16.600              20.313            -3.713         9.038
RESSURF           28.595              31.307            -2.711         6.156
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.796               1.694             0.102         0.254
CLDHGH            25.365              25.165             0.201         1.904
CLDLOW            38.893              39.203            -0.309         1.667
CLDMED            15.537              15.424             0.113         1.393
CLDTOT            52.957              53.142            -0.185         1.789
EKE_850           43.180              42.605             0.575         2.965
EP             9.813e-02           1.248e-01        -2.668e-02         0.270
FLNS              62.550              62.006             0.545         1.754
FLNSC             91.746              91.110             0.636         1.245
FLNT             223.355             224.183            -0.828         2.132
FLNTC            247.099             247.890            -0.791         1.242
FSDS             208.327             206.740             1.587         4.837
FSDSC            277.632             276.653             0.978         1.523
FSNS             166.494             171.055            -4.562        10.164
FSNSC            225.121             231.888            -6.767        14.232
FSNSC_ICE         63.361              62.944             0.417         4.434
FSNSC_LAND       149.704             149.340             0.364         0.751
FSNT             239.955             244.496            -4.542         9.535
FSNTC            292.250             298.922            -6.672        13.470
ICEAREA           15.630              15.016             0.614         0.047
LHFLX             62.440              64.679            -2.239         5.965
LWCF              23.744              23.707             0.037         1.629
PRECT              2.005               2.051            -0.047         0.275
PRECT_LAND         1.562               1.551             0.011         0.233
PRECT_OCEAN        2.128               2.182            -0.054         0.297
PREH2O            15.020              15.665            -0.645         0.937
PREH2O_OCEAN      17.245              17.948            -0.703         1.053
PSI_200            7.341               7.356            -0.015         0.143
PS               983.282             983.232             0.050         0.811
PSL             1006.984            1006.911             0.072         0.850
QFLX               2.103               2.176            -0.073         0.192
SHFLX             12.908              13.064            -0.156         1.799
SNOWHLND          46.960              46.962            -0.002         0.591
SST               13.135              13.617            -0.482         0.596
STRESS_MAG         0.099               0.100            -0.001         0.009
SWCF             -52.295             -54.425             2.130         5.530
T_850            274.853             275.296            -0.443         0.537
TGCLDLWP         135.843             137.350            -1.507        10.528
TGCLDIWP          21.182              20.927             0.255         1.495
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.777             280.172            -0.395         0.550
TS               280.275             280.687            -0.412         0.596
TS_LAND          266.722             266.841            -0.120         0.574
U_200             27.109              27.210            -0.101         1.450
VT_850            -0.241              -0.234            -0.008         0.688
Z3_500            54.892              54.984            -0.092         0.153
