DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            48.445              48.331             0.113         1.821
RESSURF           15.349              15.658            -0.309         3.022
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.511              -0.536             0.025         0.276
CLDHGH            36.365              36.336             0.029         1.592
CLDLOW            29.422              29.085             0.337         1.212
CLDMED            16.953              16.843             0.110         1.228
CLDTOT            53.374              53.126             0.247         1.400
EKE_850           15.117              15.011             0.106         1.057
EP            -7.499e-02          -7.446e-02        -5.222e-04         0.435
FLNS              52.747              52.289             0.458         1.138
FLNSC             69.151              68.300             0.851         1.251
FLNT             244.901             245.494            -0.592         2.318
FLNTC            283.873             284.371            -0.498         0.771
FSDS             215.528             215.739            -0.211         2.966
FSDSC            292.311             291.895             0.417         0.604
FSNS             200.019             200.202            -0.183         2.765
FSNSC            272.250             271.851             0.399         0.563
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.724             245.265             0.460         0.729
FSNT             293.346             293.825            -0.479         2.594
FSNTC            362.077             362.083            -0.007         0.171
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.777             115.179            -0.403         3.516
LWCF              38.972              38.877             0.095         1.784
PRECT              4.050               4.063            -0.013         0.401
PRECT_LAND         4.204               4.156             0.048         0.285
PRECT_OCEAN        3.995               4.028            -0.033         0.432
PREH2O            42.398              43.317            -0.919         1.187
PREH2O_OCEAN      44.027              45.052            -1.025         1.288
PSI_200           -0.702              -0.616            -0.085         0.108
PS               995.818             995.964            -0.146         0.230
PSL             1010.534            1010.677            -0.143         0.228
QFLX               3.975               3.989            -0.014         0.082
SHFLX             17.146              17.076             0.070         1.030
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.298              27.619            -0.320         0.374
STRESS_MAG         0.054               0.052             0.002         0.005
SWCF             -68.731             -68.258            -0.472         2.650
T_850            290.360             290.664            -0.304         0.336
TGCLDLWP         137.895             136.896             0.999         8.099
TGCLDIWP          11.963              11.835             0.128         0.863
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.045             299.349            -0.304         0.345
TS               300.013             300.319            -0.307         0.356
TS_LAND          298.471             298.746            -0.275         0.307
U_200              2.980               3.189            -0.209         0.763
VT_850             0.370               0.284             0.085         0.422
Z3_500            58.613              58.693            -0.080         0.080
