DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            53.546              52.291             1.255         3.617
RESSURF           15.732              14.757             0.975         5.582
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.549              -0.582             0.033         0.663
CLDHGH            38.155              37.680             0.475         2.736
CLDLOW            27.822              27.688             0.134         1.877
CLDMED            17.568              17.634            -0.065         2.285
CLDTOT            53.324              53.042             0.283         2.312
EKE_850           10.864              11.376            -0.511         1.885
EP            -1.058e-01          -1.032e-01        -2.583e-03         0.772
FLNS              54.922              54.274             0.648         2.088
FLNSC             71.011              69.973             1.039         1.919
FLNT             242.624             243.729            -1.105         3.864
FLNTC            283.071             283.755            -0.684         1.340
FSDS             219.167             218.594             0.573         5.684
FSDSC            296.335             295.697             0.638         1.168
FSNS             203.281             202.704             0.577         5.326
FSNSC            275.868             275.259             0.609         1.064
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.974             248.448             0.526         1.561
FSNT             296.170             296.020             0.150         4.851
FSNTC            365.756             365.681             0.074         0.267
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.383             117.380            -0.997         6.333
LWCF              40.447              40.026             0.421         2.877
PRECT              4.140               4.172            -0.032         0.725
PRECT_LAND         4.514               4.380             0.134         0.595
PRECT_OCEAN        4.016               4.099            -0.084         0.762
PREH2O            40.883              41.989            -1.106         1.671
PREH2O_OCEAN      42.912              44.208            -1.296         1.793
PSI_200            1.441               1.515            -0.074         0.170
PS               994.827             994.951            -0.124         0.299
PSL             1009.558            1009.680            -0.122         0.305
QFLX               4.035               4.069            -0.034         0.157
SHFLX             16.245              16.294            -0.049         1.791
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.218              27.539            -0.320         0.376
STRESS_MAG         0.059               0.059            -0.000         0.006
SWCF             -69.586             -69.661             0.076         4.897
T_850            289.884             290.219            -0.335         0.432
TGCLDLWP         139.974             141.160            -1.186        16.348
TGCLDIWP          12.524              12.314             0.209         1.606
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.702             299.015            -0.313         0.385
TS               299.639             299.937            -0.298         0.380
TS_LAND          297.138             297.372            -0.233         0.406
U_200              3.796               4.570            -0.775         1.378
VT_850            -2.100              -2.260             0.160         0.767
Z3_500            58.451              58.547            -0.096         0.097
