DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            55.804              56.494            -0.690         3.098
RESSURF           22.669              24.406            -1.737         5.858
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.556              -0.600             0.044         0.495
CLDHGH            37.554              37.750            -0.196         2.988
CLDLOW            27.838              27.316             0.522         1.769
CLDMED            16.403              16.222             0.181         2.128
CLDTOT            52.871              52.617             0.254         2.530
EKE_850           10.773              10.184             0.589         1.533
EP            -9.827e-02          -9.187e-02        -6.405e-03         0.780
FLNS              53.133              52.714             0.419         1.642
FLNSC             69.011              68.213             0.797         1.507
FLNT             244.798             244.971            -0.173         4.037
FLNTC            284.639             284.932            -0.293         1.110
FSDS             222.376             223.203            -0.827         5.285
FSDSC            295.570             295.535             0.035         0.701
FSNS             206.216             207.042            -0.825         4.994
FSNSC            275.243             275.223             0.021         0.622
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.370             247.474            -0.104         0.761
FSNT             300.603             301.466            -0.863         4.657
FSNTC            366.252             366.405            -0.153         0.287
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.956             112.598             0.358         6.488
LWCF              39.841              39.961            -0.120         3.322
PRECT              4.014               3.994             0.020         0.713
PRECT_LAND         4.192               4.250            -0.059         0.541
PRECT_OCEAN        3.953               3.908             0.044         0.759
PREH2O            43.128              43.960            -0.832         1.391
PREH2O_OCEAN      44.950              45.795            -0.845         1.473
PSI_200            0.017               0.164            -0.147         0.176
PS               995.425             995.613            -0.188         0.317
PSL             1010.114            1010.300            -0.186         0.319
QFLX               3.915               3.902             0.013         0.152
SHFLX             17.458              17.324             0.134         1.392
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.777              28.090            -0.313         0.400
STRESS_MAG         0.053               0.050             0.003         0.007
SWCF             -65.649             -64.940            -0.710         4.693
T_850            290.935             291.177            -0.242         0.321
TGCLDLWP         126.273             123.578             2.695        14.410
TGCLDIWP          11.845              11.801             0.044         1.457
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.530             299.812            -0.282         0.354
TS               300.572             300.872            -0.300         0.387
TS_LAND          299.329             299.596            -0.267         0.357
U_200              5.697               5.346             0.352         1.271
VT_850             0.265               0.185             0.079         0.692
Z3_500            58.640              58.709            -0.069         0.070
