DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            55.578              55.389             0.189         2.963
RESSURF           26.433              26.207             0.226         4.780
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.434              -0.470             0.036         0.400
CLDHGH            35.106              35.103             0.003         2.631
CLDLOW            30.127              29.744             0.383         1.523
CLDMED            17.039              16.929             0.110         1.806
CLDTOT            53.248              52.996             0.252         2.160
EKE_850           11.160              11.192            -0.032         1.351
EP            -2.084e-01          -2.027e-01        -5.642e-03         0.621
FLNS              52.062              51.662             0.400         1.741
FLNSC             68.925              68.066             0.859         1.609
FLNT             245.906             246.582            -0.676         3.500
FLNTC            283.748             284.319            -0.570         1.028
FSDS             222.174             222.313            -0.139         4.491
FSDSC            301.321             300.752             0.569         0.967
FSNS             206.630             206.697            -0.067         4.146
FSNSC            281.162             280.602             0.560         0.929
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       254.797             254.028             0.769         1.421
FSNT             301.484             301.971            -0.487         3.879
FSNTC            372.012             371.975             0.037         0.302
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.306             111.043            -0.737         5.279
LWCF              37.842              37.736             0.106         2.845
PRECT              4.047               4.066            -0.019         0.579
PRECT_LAND         4.703               4.617             0.086         0.507
PRECT_OCEAN        3.833               3.887            -0.054         0.600
PREH2O            42.419              43.370            -0.951         1.361
PREH2O_OCEAN      43.520              44.622            -1.101         1.456
PSI_200           -1.211              -1.138            -0.073         0.126
PS               995.828             995.963            -0.134         0.231
PSL             1010.523            1010.653            -0.130         0.229
QFLX               3.838               3.863            -0.025         0.132
SHFLX             17.830              17.785             0.045         1.481
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.056              27.388            -0.332         0.389
STRESS_MAG         0.054               0.054             0.001         0.004
SWCF             -70.527             -70.004            -0.524         3.973
T_850            290.377             290.708            -0.331         0.371
TGCLDLWP         137.988             137.104             0.885        11.837
TGCLDIWP          11.777              11.626             0.151         1.298
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.003             299.335            -0.332         0.379
TS               299.998             300.326            -0.328         0.388
TS_LAND          299.182             299.513            -0.331         0.402
U_200              1.594               1.868            -0.274         1.007
VT_850             0.270               0.196             0.075         0.545
Z3_500            58.602              58.682            -0.080         0.081
